package,authors,description,url,msc,verified
Properties of ZF Models,"Bancerek, Grzegorz",,http://fm.mizar.org/1990-1/pdf1-2/zfmodel1.pdf,03C62,True
Sequences of Ordinal Numbers,"Bancerek, Grzegorz",,http://fm.mizar.org/1990-1/pdf1-2/ordinal2.pdf,03E10,True
Vectors in Real Linear Space,"Trybulec, Wojciech A.",,http://fm.mizar.org/1990-1/pdf1-2/rlvect_1.pdf,15A03,True
Subspaces and Cosets of Subspaces in Real Linear Space,"Trybulec, Wojciech A.",,http://fm.mizar.org/1990-1/pdf1-2/rlsub_1.pdf,15A03,True
A First Order Language,"Rudnicki, Piotr and Trybulec, Andrzej",,http://fm.mizar.org/1990-1/pdf1-2/qc_lang1.pdf,03B10,True
Partially Ordered Sets,"Trybulec, Wojciech A.",,http://fm.mizar.org/1990-1/pdf1-2/orders_1.pdf,06A06,True
Recursive Definitions,"Hryniewiecki, Krzysztof",,http://fm.mizar.org/1990-1/pdf1-2/recdef_1.pdf,03D20,True
Binary Operations Applied to Functions,"Trybulec, Andrzej",,http://fm.mizar.org/1990-1/pdf1-2/funcop_1.pdf,18F05,True
"Abelian Groups, Fields and Vector Spaces","Kusak, Eugeniusz and Leończuk, Wojciech and Muzalewski, Michał",,http://fm.mizar.org/1990-1/pdf1-2/vectsp_1.pdf,15A03,True
Parallelity Spaces,"Kusak, Eugeniusz and Leończuk, Wojciech and Muzalewski, Michał",,http://fm.mizar.org/1990-1/pdf1-2/parsp_1.pdf,51A15,True
Construction of a bilinear antisymmetric form in simplectic vector space,"Kusak, Eugeniusz and Leończuk, Wojciech and Muzalewski, Michał",,http://fm.mizar.org/1990-1/pdf1-2/symsp_1.pdf,51A50,True
Construction of a bilinear symmetric form in orthogonal vector space,"Kusak, Eugeniusz and Leończuk, Wojciech and Muzalewski, Michał",,http://fm.mizar.org/1990-1/pdf1-2/ortsp_1.pdf,51A50,True
Partial Functions,"Byliński, Czesław",,http://fm.mizar.org/1990-1/pdf1-2/partfun1.pdf,Exclude-Util,True
Semilattice Operations on Finite Subsets,"Trybulec, Andrzej",,http://fm.mizar.org/1990-1/pdf1-2/setwiseo.pdf,03E20,True
Cardinal Numbers,"Bancerek, Grzegorz",,http://fm.mizar.org/1990-1/pdf1-2/card_1.pdf,03E10,True
