package,msc,module,url,description,authors,verified
HOL/HOL-Proofs-Lambda,03B40,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Proofs-Lambda/index.html,,,True
HOL/HOL-Proofs-ex,03B40,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Proofs-ex/index.html,,,True
HOL/HOL-Quickcheck_Benchmark,68Q60,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Quickcheck_Benchmark/index.html,,,True
HOL/HOL-Quickcheck_Examples,68Q60,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Quickcheck_Examples/index.html,,,True
HOL/HOL-Quotient_Examples,18A32,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Quotient_Examples/index.html,,,True
HOL/HOL-Real_Asymp,26A03,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Real_Asymp/index.html,,,True
HOL/HOL-Real_Asymp-Manual,26A03,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Real_Asymp-Manual/index.html,,,True
HOL/HOL-Record_Benchmark,68-04,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Record_Benchmark/index.html,,,True
HOL/HOL-SET_Protocol,68M12,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-SET_Protocol/index.html,,,True
HOL/HOL-SMT_Examples,68R07,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-SMT_Examples/index.html,,,True
HOL/HOL-SPARK,68Q60,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-SPARK/index.html,,,True
HOL/HOL-SPARK-Examples,68Q60,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-SPARK-Examples/index.html,,,True
HOL/HOL-SPARK-Manual,68Q60,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-SPARK-Manual/index.html,,,True
HOL/HOL-Statespace,68Q60,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-Statespace/index.html,,,True
HOL/HOL-TLA,68Q85,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-TLA/index.html,,,True
HOL/HOL-TLA-Buffer,68Q85,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-TLA-Buffer/index.html,,,True
HOL/HOL-TLA-Inc,68Q85,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-TLA-Inc/index.html,,,True
HOL/HOL-TLA-Memory,68Q85,HOL,https://isabelle.in.tum.de/dist/library/HOL/HOL-TLA-Memory/index.html,,,True
